dia,confirmados,muertos,pais
1,19011,817,Guatemala
2,20072,843,Guatemala
3,21293,880,Guatemala
4,22501,920,Guatemala
5,23248,947,Guatemala
6,23972,981,Guatemala
7,24787,1004,Guatemala
8,25411,1053,Guatemala
9,26658,1092,Guatemala
10,27619,1139,Guatemala
11,28598,1172,Guatemala
12,29355,1219,Guatemala
13,29742,1244,Guatemala
14,30872,1302,Guatemala
15,32074,135,Guatemala
16,32939,1404,Guatemala
17,33809,1443,Guatemala
18,38042,1449,Guatemala
19,38677,1485,Guatemala
20,39039,1502,Guatemala
21,40229,1531,Guatemala
22,41135,1573,Guatemala
23,42192,1632,Guatemala
24,43283,1669,Guatemala
25,44492,1699,Guatemala
26,45053,1734,Guatemala
27,45309,1761,Guatemala
28,46451,1782,Guatemala
29,47605,1835,Guatemala
30,48826,1867,Guatemala
31,49789,1924,Guatemala
32,50979,1959,Guatemala
33,51306,1995,Guatemala
34,51542,2013,Guatemala
35,52365,2037,Guatemala
36,53509,2072,Guatemala
37,54339,2119,Guatemala
38,5527,2168,Guatemala
39,56189,2197,Guatemala
40,56605,2211,Guatemala
41,56987,2222,Guatemala
42,57966,2233,Guatemala
43,59089,2267,Guatemala
44,60284,2296,Guatemala
45,61428,2341,Guatemala
46,62313,2355,Guatemala
47,62562,2379,Guatemala
48,62944,2389,Guatemala
49,63847,2419,Guatemala
50,64881,2467,Guatemala
51,65983,2506,Guatemala
52,66941,2532,Guatemala
53,67856,258,Guatemala
54,68188,2594,Guatemala
55,68533,2611,Guatemala
56,69651,263,Guatemala
57,70714,2662,Guatemala
58,71856,2685,Guatemala
59,72921,2709,Guatemala
60,73679,2728,Guatemala
61,73912,274,Guatemala
62,74074,276,Guatemala
63,74893,2778,Guatemala
64,75644,279,Guatemala
65,76358,2804,Guatemala
66,7704,2825,Guatemala
67,77481,2845,Guatemala
68,77683,2852,Guatemala
69,77828,2862,Guatemala
70,78721,289,Guatemala
71,79622,2897,Guatemala
72,80306,2918,Guatemala
73,81009,2929,Guatemala
74,81658,2949,Guatemala
75,81909,2957,Guatemala
76,82172,2972,Guatemala
77,82684,2984,Guatemala
78,82924,3009,Guatemala
79,83664,3036,Guatemala
80,84344,3076,Honduras
81,85152,3105,Honduras
82,85444,3119,Honduras
83,85681,3124,Honduras
84,86623,3137,Honduras
85,87442,3154,Honduras
86,87933,317,Honduras
87,88878,3186,Honduras
88,89702,3213,Honduras
89,90092,3229,Honduras
90,90263,3234,Honduras
91,90968,3238,Honduras
92,91746,3246,Honduras
93,92409,3261,Honduras
94,9309,3267,Honduras
95,93748,3285,Honduras
96,93963,3293,Honduras
97,94182,3302,Honduras
98,9487,331,Honduras
99,95704,3335,Honduras
100,9648,3347,Honduras
