dateRep,cases,deaths,pais,
1,7,0,Guatemala,
2,2,0,Guatemala,
3,2,0,Guatemala,
4,0,0,Guatemala,
5,2,0,Guatemala,
6,8,0,Guatemala,
7,1,0,Guatemala,
8,3,0,Guatemala,
9,11,1,Guatemala,
10,9,1,Guatemala,
11,4,0,Guatemala,
12,6,0,Guatemala,
13,7,0,Guatemala,
14,39,0,Guatemala,
15,11,0,Guatemala,
16,16,0,Guatemala,
17,3,2,Guatemala,
18,11,0,Guatemala,
19,13,0,Guatemala,
20,16,0,Guatemala,
21,18,2,Guatemala,
22,21,0,Guatemala,
23,22,0,Guatemala,
24,32,0,Guatemala,
25,5,0,Guatemala,
26,22,1,Guatemala,
27,26,2,Guatemala,
28,42,1,Guatemala,
29,46,0,Guatemala,
30,43,2,Guatemala,
31,27,2,Guatemala,
32,30,0,Guatemala,
33,27,1,Guatemala,
34,28,0,Guatemala,
35,14,0,Guatemala,
36,45,0,Guatemala,
37,44,1,Guatemala,
38,15,0,Guatemala,
39,27,2,Guatemala,
40,33,0,Guatemala,
41,35,2,Guatemala,
42,34,2,Guatemala,
43,68,1,Guatemala,
44,67,0,Guatemala,
45,85,2,Guatemala,
46,62,0,Guatemala,
47,85,1,Guatemala,
48,143,2,Guatemala,
49,176,0,Guatemala,
50,125,1,Guatemala,
51,120,3,Guatemala,
52,149,2,Guatemala,
53,89,3,Guatemala,
54,132,5,Guatemala,
55,132,2,Guatemala,
56,247,3,Guatemala,
57,231,3,Guatemala,
58,311,4,Guatemala,
59,370,3,Guatemala,
60,336,1,Guatemala,
61,194,4,Guatemala,
62,191,5,Guatemala,
63,203,12,Guatemala,
64,259,10,Guatemala,
65,132,12,Guatemala,
66,348,6,Guatemala,
67,249,8,Guatemala,
68,250,7,Guatemala,
69,174,20,Guatemala,
70,394,15,Guatemala,
71,331,58,Guatemala,
72,307,14,Guatemala,
73,263,22,Guatemala,
74,447,15,Guatemala,
75,364,22,Guatemala,
76,355,27,Guatemala,
77,340,18,Guatemala,
78,421,17,Guatemala,
79,509,16,Guatemala,
80,354,17,Guatemala,
81,427,15,Guatemala,
82,434,19,Guatemala,
83,545,14,Guatemala,
84,617,17,Guatemala,
85,641,34,Guatemala,
86,246,31,Guatemala,
87,390,17,Guatemala,
88,624,16,Guatemala,
89,771,35,Guatemala,
90,279,19,Guatemala,
91,800,22,Guatemala,
92,209,49,Guatemala,
93,569,34,Guatemala,
94,533,21,Guatemala,
95,479,19,Guatemala,
96,687,27,Guatemala,
97,915,44,Guatemala,
98,1061,26,Guatemala,
99,1221,37,Guatemala,
100,1208,40,Guatemala,
101,747,27,Guatemala,
102,724,34,Guatemala,
103,815,23,Guatemala,
104,624,49,Guatemala,
105,1247,39,Guatemala,
106,961,47,Guatemala,
107,979,33,Guatemala,
108,757,47,Guatemala,
109,387,25,Guatemala,
110,1130,58,Guatemala,
111,1202,48,Guatemala,
112,865,54,Guatemala,
113,870,39,Guatemala,
114,4233,6,Guatemala,
115,635,36,Guatemala,
116,362,17,Guatemala,
117,1190,29,Guatemala,
118,906,42,Guatemala,
119,1057,59,Guatemala,
120,1091,37,Guatemala,
121,1209,0,Guatemala,
122,561,65,Guatemala,
123,0,0,Guatemala,
124,6,27,Guatemala,
125,2546,74,Guatemala,
126,1221,32,Guatemala,
127,963,57,Guatemala,
128,1190,35,Guatemala,
129,327,36,Guatemala,
130,236,18,Guatemala,
131,823,24,Guatemala,
132,1144,35,Guatemala,
133,830,47,Guatemala,
134,931,49,Guatemala,
135,919,29,Guatemala,
136,416,14,Guatemala,
137,382,11,Guatemala,
138,979,11,Guatemala,
139,1123,34,Guatemala,
140,1195,29,Guatemala,
141,1144,45,Guatemala,
142,885,14,Guatemala,
143,249,24,Guatemala,
144,382,10,Guatemala,
145,903,30,Guatemala,
146,1034,48,Guatemala,
147,1102,39,Guatemala,
148,958,26,Guatemala,
149,915,48,Guatemala,
150,332,14,Guatemala,
151,345,17,Guatemala,
152,1118,19,Guatemala,
153,1063,32,Guatemala,
154,1142,23,Guatemala,
155,1065,24,Guatemala,
156,758,19,Guatemala,
157,233,12,Guatemala,
158,162,20,Guatemala,
159,819,18,Guatemala,
160,771,12,Guatemala,
161,694,14,Guatemala,
162,682,21,Guatemala,
163,441,20,Guatemala,
164,202,7,Guatemala,
165,145,10,Guatemala,
166,893,28,Guatemala,
167,901,7,Guatemala,
168,684,21,Guatemala,
169,703,11,Guatemala,
170,649,20,Guatemala,
171,251,8,Guatemala,
172,263,15,Guatemala,
173,512,12,Guatemala,
174,240,25,Guatemala,
175,740,27,Guatemala,
176,680,40,Guatemala,
177,808,29,Guatemala,
178,292,14,Guatemala,
179,237,5,Guatemala,
180,942,13,Guatemala,
181,819,17,Guatemala,
182,491,16,Guatemala,
183,945,16,Guatemala,
184,824,27,Guatemala,
185,390,16,Guatemala,
186,171,5,Guatemala,
187,705,4,Guatemala,
188,778,8,Guatemala,
189,663,15,Guatemala,
190,681,6,Guatemala,
191,658,18,Guatemala,
192,215,8,Guatemala,
193,219,9,Guatemala,
194,688,8,Guatemala,
195,834,25,Guatemala,
196,776,12,Guatemala,
197,455,9,Guatemala,
198,609,9,Guatemala,
199,171,19,Guatemala,
200,111,3,Guatemala,
201,554,23,Guatemala,
202,714,20,Guatemala,
203,671,23,Guatemala,
204,666,25,Guatemala,
205,597,37,Guatemala,
206,332,15,Guatemala,
207,239,11,Guatemala,
208,620,5,Guatemala,
209,196,21,Guatemala,
210,757,13,Guatemala,
211,730,14,Guatemala,
212,730,15,Guatemala,
213,155,35,Guatemala,
214,107,7,Guatemala,
215,677,14,Guatemala,
216,749,17,Guatemala,
217,470,22,Guatemala,
218,549,10,Guatemala,
219,600,15,Guatemala,
220,165,9,Guatemala,
221,0,0,Guatemala,
222,379,10,Guatemala,
223,664,4,Guatemala,
224,702,14,Guatemala,
225,653,28,Guatemala,
226,548,17,Guatemala,
