CASOS,DIA PANDEMIA,DIAS DEL ANIO,REGION,ETIQUETA
1,1,73,MEXICO,C1
1,2,74,MEXICO,    C1
6,3,75,MEXICO,    C1
0,4,76,MEXICO,    C1
2,5,77,MEXICO,    C1
2,6,78,MEXICO,    C1
5,7,79,MEXICO,    C1
3,8,80,MEXICO,    C1
1,9,81,MEXICO,    C1
2,10,82,MEXICO,    C1
0,11,83,MEXICO,    C1
4,12,84,MEXICO,    C1
1,13,85,MEXICO,    C1
4,14,86,MEXICO,    C1
4,15,87,MEXICO,    C1
3,16,88,MEXICO,    C1
0,17,89,MEXICO,    C1
4,18,90,MEXICO,    C1
5,19,91,MEXICO,    C1
6,20,92,MEXICO,    C1
6,21,93,MEXICO,    C1
8,22,94,MEXICO,    C1
7,23,95,MEXICO,    C1
7,24,96,MEXICO,    C1
5,25,97,MEXICO,    C1
11,26,98,MEXICO,    C1
38,27,99,MEXICO,    C1
15,28,100,MEXICO,    C1
13,29,101,MEXICO,    C1
3,30,102,MEXICO,    C1
10,31,103,MEXICO,    C1
16,32,104,MEXICO,    C1
71,33,105,MEXICO,    C1
10,34,106,MEXICO,    C1
19,35,107,MEXICO,    C1
14,36,108,MEXICO,    C1
9,37,109,MEXICO,    C1
3,38,110,MEXICO,    C1
34,39,111,MEXICO,    C1
71,40,112,MEXICO,    C1
24,41,113,MEXICO,    C1
52,42,114,MEXICO,    C1
65,43,115,MEXICO,    C1
19,44,116,MEXICO,    C1
14,45,117,MEXICO,    C1
29,46,118,MEXICO,    C1
27,47,119,MEXICO,    C1
31,48,120,MEXICO,    C1
48,49,121,MEXICO,    C1
20,50,122,MEXICO,    C1
16,51,123,MEXICO,    C1
24,52,124,MEXICO,    C1
44,53,125,MEXICO,    C1
47,54,126,MEXICO,    C1
66,55,127,MEXICO,    C1
46,56,128,MEXICO,    C1
99,57,129,MEXICO,    C1
87,58,130,MEXICO,    C1
49,59,131,MEXICO,    C1
114,60,132,MEXICO,    C1
129,61,133,MEXICO,    C1
182,62,134,MEXICO,    C1
154,63,135,MEXICO,    C1
138,64,136,MEXICO,    C1
107,65,137,MEXICO,    C1
191,66,138,MEXICO,    C1
279,67,139,MEXICO,    C1
255,68,140,MEXICO,    C1
458,69,141,MEXICO,    C3
555,70,142,MEXICO,    C3
517,71,143,MEXICO,    C3
248,72,144,MEXICO,    C1
204,73,145,MEXICO,    C1
614,74,146,MEXICO,    C3
575,75,147,MEXICO,    C3
409,76,148,MEXICO,    C3
441,77,149,MEXICO,    C3
400,78,150,MEXICO,    C3
192,79,151,MEXICO,    C1
113,80,152,MEXICO,    C1
372,81,153,MEXICO,    C3
359,82,154,MEXICO,    C3
450,83,155,MEXICO,    C3
442,84,156,MEXICO,    C3
577,85,157,MEXICO,    C3
535,86,158,MEXICO,    C3
321,87,159,MEXICO,    C1
592,88,160,MEXICO,    C3
692,89,161,MEXICO,    C3
743,90,162,MEXICO,    C3
777,91,163,MEXICO,    C3
720,92,164,MEXICO,    C3
507,93,165,MEXICO,    C3
447,94,166,MEXICO,    C3
983,95,167,MEXICO,    C2
926,96,168,MEXICO,    C2
847,97,169,MEXICO,    C2
721,98,170,MEXICO,    C3
886,99,171,MEXICO,    C2
702,100,172,MEXICO,    C3
317,101,173,MEXICO,    C1
1068,102,174,MEXICO,    C2
1182,103,175,MEXICO,    C2
1147,104,176,MEXICO,    C2
1341,105,177,MEXICO,    C2
1299,106,178,MEXICO,    C2
868,107,179,MEXICO,    C2
365,108,180,MEXICO,    C3
946,109,181,MEXICO,    C2
1627,110,182,MEXICO,    C2
1337,111,183,MEXICO,    C2
1322,112,184,MEXICO,    C2
1232,113,185,MEXICO,    C2
861,114,186,MEXICO,    C2
364,115,187,MEXICO,    C3
1207,116,188,MEXICO,    C2
1215,117,189,MEXICO,    C2
1244,118,190,MEXICO,    C2
1100,119,191,MEXICO,    C2
1006,120,192,MEXICO,    C2
724,121,193,MEXICO,    C3
426,122,194,MEXICO,    C3
1129,123,195,MEXICO,    C2
1074,124,196,MEXICO,    C2
1054,125,197,MEXICO,    C2
1121,126,198,MEXICO,    C2
982,127,199,MEXICO,    C2
650,128,200,MEXICO,    C3
337,129,201,MEXICO,    C3
1189,130,202,MEXICO,    C2
995,131,203,MEXICO,    C2
1039,132,204,MEXICO,    C2
944,133,205,MEXICO,    C2
963,134,206,MEXICO,    C2
564,135,207,MEXICO,    C3
283,136,208,MEXICO,    C1
1182,137,209,MEXICO,    C2
1054,138,210,MEXICO,    C2
803,139,211,MEXICO,    C3
815,140,212,MEXICO,    C2
830,141,213,MEXICO,    C2
559,142,214,MEXICO,    C3
388,143,215,MEXICO,    C3
1036,144,216,MEXICO,    C2
832,145,217,MEXICO,    C2
884,146,218,MEXICO,    C2
719,147,219,MEXICO,    C3
675,148,220,MEXICO,    C3
507,149,221,MEXICO,    C3
279,150,222,MEXICO,    C1
789,151,223,MEXICO,    C3
740,152,224,MEXICO,    C3
679,153,225,MEXICO,    C3
683,154,226,MEXICO,    C3
628,155,227,MEXICO,    C3
457,156,228,MEXICO,    C3
370,157,229,MEXICO,    C3
853,158,230,MEXICO,    C2
715,159,231,MEXICO,    C3
675,160,232,MEXICO,    C3
731,161,233,MEXICO,    C3
689,162,234,MEXICO,    C3
399,163,235,MEXICO,    C3
285,164,236,MEXICO,    C1
751,165,237,MEXICO,    C3
687,166,238,MEXICO,    C3
687,167,239,MEXICO,    C3
631,168,240,MEXICO,    C3
651,169,241,MEXICO,    C3
349,170,242,MEXICO,    C3
229,171,243,MEXICO,    C1
668,172,244,MEXICO,    C3
659,173,245,MEXICO,    C3
584,174,246,MEXICO,    C3
600,175,247,MEXICO,    C3
504,176,248,MEXICO,    C3
346,177,249,MEXICO,    C3
205,178,250,MEXICO,    C1
717,179,251,MEXICO,    C3
641,180,252,MEXICO,    C3
541,181,253,MEXICO,    C3
648,182,254,MEXICO,    C3
626,183,255,MEXICO,    C3
375,184,256,MEXICO,    C3
235,185,257,MEXICO,    C1
713,186,258,MEXICO,    C3
345,187,259,MEXICO,    C3
666,188,260,MEXICO,    C3
629,189,261,MEXICO,    C3
688,190,262,MEXICO,    C3
527,191,263,MEXICO,    C3
335,192,264,MEXICO,    C3
763,193,265,MEXICO,    C3
761,194,266,MEXICO,    C3
708,195,267,MEXICO,    C3
706,196,268,MEXICO,    C3
598,197,269,MEXICO,    C3
342,198,270,MEXICO,    C3
228,199,271,MEXICO,    C1
661,200,272,MEXICO,    C3
610,201,273,MEXICO,    C3
546,202,274,MEXICO,    C3
590,203,275,MEXICO,    C3
578,204,276,MEXICO,    C3
302,205,277,MEXICO,    C3
208,206,278,MEXICO,    C1
671,207,279,MEXICO,    C3
600,208,280,MEXICO,    C3
567,209,281,MEXICO,    C3
541,210,282,MEXICO,    C3
567,211,283,MEXICO,    C3
335,212,284,MEXICO,    C3
193,213,285,MEXICO,    C1
581,214,286,MEXICO,    C3
601,215,287,MEXICO,    C3
